12-31 	11388	0	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机[胜利]	可爱的农业银行1分钱就能开心的玩一天，织布机中的织布机	
07-23 	12632	0	方正证券首席任泽平：三季度可能成为宽松的时间窗口	方正证券首席任泽平：三季度可能成为宽松的时间窗口	
07-22 	16142	1	福田无论也值十块钱，为什么現在只值3元不到，为什么？	福田无论也值十块钱，为什么現在只值3元不到，为什么？	10送10股以前就已经不值3块钱，送的10股成本7毛钱价值几何？如果和农业银行做比较，连一块钱都不值得。“福田无论也值十块钱”----两块多钱卖给你福田无论要多少有多少(无论也值十块钱?你以为是投资者是傻瓜？） 
07-22 	16047	0	卖出农行2000股为江苏银行新股准备资金	卖出农行2000股为江苏银行新股准备资金，看来我跟银行蛮有缘的	
07-22 	13556	0	预期还是提前泄密:广发证券封板领券商尾盘齐涨！周末降准降息提前预知？深港通第一股广发证券要几翻	预期还是提前泄密:广发证券封板领券商尾盘齐涨！周末降准降息提前预知？深港通第一股广发证券要几翻	
07-22 	31183	1	农业银行除权这么长时间了	农业银行除权这么长时间了，分红现在还没到，效率真低！	分红7月7日到账，“分红现在还没到”？----应该是没有持股农业银行。 
07-22 	23366	1	坚决要求监管层严查农行贱买国有资产行为！！	坚决要求监管层严查农行贱买国有资产行为！！	文化大革命,属于每一个脑文化决斗. 
07-22 	10823	0	[000798]大盘横盘调整 中水顺势整固	[000798]大盘横盘调整 中水顺势整固	
07-22 	12208	0	非常好接下来是过11.11.96空间关键点！打开空间底部所有空头被关！重新追高性钱进	非常好接下来是过11.11.96空间关键点！打开空间底部所有空头被关！重新追高性钱进	
07-22 	14921	2	资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！	至今为止资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！每次拉高一点，机构便借机出货。是什么原因？现在你应该懂了吧！。	为无产阶级留空间，加物质世界观。这样想对吧！ 米元走狗 
07-22 	12129	0	基金抱团炒个股是中国式庞氏骗局，隐患危害大288	基金抱团炒个股是中国式庞氏骗局，隐患范围广、危害大基金抱团炒个股，以及建立在此模式基础之上，众基金扎堆大比例投资蓝筹股和所谓的高成长股及创业板，利用资金优势在股评、媒体的联合推荐下，推升或操纵股价，与庞氏骗局已经十分神似。庞氏骗局的核心，就是利用后到的新投资人的钱来向先来的老投资者支付利息和短期回报，后浪推前浪，以制造赚钱的假象进而骗取更多的投资。特别是试图放松监管、用妖股激活市场是十分错误的！	
07-22 	12724	0	众兴菌业:关于持股5%以上股东减持至5%以下的提示性公告	众兴菌业:关于持股5%以上股东减持至5%以下的提示性公告	
07-22 	14429	0	建设银行601939别冒充超级大盘股了（95.9亿股还是全流通的）	建设银行601939别冒充超级大盘股了（95.9亿股还是全流通的）	
07-21 	12452	0	同志们，今天的下沙好猛，好吓人，这就是庄家的手法，让我们小散的心里崩溃。本以为是	同志们，今天的下沙好猛，好吓人，这就是庄家的手法，让我们小散的心里崩溃。本以为是	
07-21 	11764	0	各位当心踩雷，新能源汽车骗补一事马上就要公告结果了的	各位当心踩雷，新能源汽车骗补一事马上就要公告结果了的	
07-21 	18633	0	农业银行，这样的势头，后市还需要多说吗？？	农业银行，这样的势头，后市还需要多说吗？？	
07-21 	11489	0	前天16.19用凯乐换的福星，换对了，哈哈	前天16.19用凯乐换的福星，换对了，哈哈	
07-21 	12825	0	受脱欧影响全球金融市场不稳定 这边倒是风景依旧	受脱欧影响全球金融市场不稳定 这边倒是风景依旧	
07-21 	12424	0	12.83卖出广百股份	12.83卖出广百股份，总盈利近全仓1%。目前持有1成清新环境，1成上海电气，2.5成农业银行。规避风险休息休息，本周做得不好。	
07-21 	11883	0	南京化纤开启下跌通道。不过放心，后面还是要大涨的。估计要调整半个月了。	南京化纤开启下跌通道。不过放心，后面还是要大涨的。估计要调整半个月了。	
07-21 	12919	0	以王石为界限，职业经理人这个职业应该消亡了。	股权不能说话算数的话，就没有规则了。现在俨然，万科是王石自家的企业了。	
07-21 	10939	0	妈的，枉取这么一个好名字，我看应改成垃圾通信	妈的，枉取这么一个好名字，我看应改成垃圾通信	
07-21 	12646	0	横这么久一直在出货，越是看着会涨的股越是会杀的你措手不及	横这么久一直在出货，越是看着会涨的股越是会杀的你措手不及	
07-21 	10832	0	资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！	至今为止资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！每次拉高一点，机构便借机出货。是什么原因？现在你应该懂了吧！。	
07-21 	15562	0	五星赖皮形态；给了你拥抱绩优股的大机会！	大盘趋势当前的市场在这里的犹豫走势让很多人精神备受折磨，也让很多人对市场前景失去信心。而我想说的是关键时刻不能轻易放弃，我依然对这里的行情抱有乐观的信心，原因之一就是现在大盘的上升趋势维持良好。另外从上证指数和创业板指数上周四形成60分钟顶背离结构引发调整周期来看，最晚本周五上午也应该结束调整了。再看6月初那波调整，3大指数都调整了6个交易日（6月6日到6月15日），如果我们把这里的调整看作是上升途中的调整的话，本次调整的时间周期应该跟6月初的调整时间差不多才行，照此计算目前3大指数已经调整了5个交易日，如果明天继续调整的话很快调整周期就结束了，所以我认为目前大盘既没有深跌也没有明显拉升只是等待调整周期消耗完毕而已。短线机会首先、虽然连续几日股指走势不强报出十字星，但是市场绝不会出现所谓的“黑天鹅,也不会很快大涨暴涨，也不会有黑周四。这两种想法都是不切合现实的。目前最大的特色就是股指继续进行筑底，横盘。其次、沪深股指横向运行，指数不涨，但是个股会涨。热点就像天女散花一样，不断出现带来很多个股机会。第三、短期周四，热点会集中于绩优股、创业板、铁路基建、导航等方面。老牌绩优股不可不注意，可以择机参与滞涨的绩优股。持股待涨：300045、000063、300013、30040补仓做差价：002466、600690；7月已经过去大半，在震荡上行的走势中本人直播室给出不乏 东信·和平、长江·投资、宁波·富达、坚瑞·消防等都是收在35个左右的好股；后半月将继续公开放送；心态分享在股市中，行情每天都在变动，甚至每分每秒都是在变动的，谁也没有办法去预知下一步会怎么走？无论我们做了再多的努力，都仍在这变幻莫测的行情之中！而在市场中取胜，获得回报又是我们每个投资者的梦想！往往很多时候，结果也是差强人意！当然，这也许与技术有关，也许与策略有关，但我认为大多数情况下，是与投资心态有关！这个市场里，有很多人输钱，但这些输钱的人从来不去找输钱原因，只给自己找开脱的理由！有的人很懒，总想着哪天碰到一个股神，让股神每天给他讲一个股票，然后提示他精准的买卖点，带着他天天吃肉！但时间长了，你就会明白：这个世界上根本就没有神，只有勤奋努力的人！无惧涨跌才小学毕业！学着让自己空仓看涨，而不急切追涨；也要学着被套下跌时，不慌乱恐惧！这一切不是说让你放弃，不闻不问，这是两码事，真正的无惧涨跌是参与到市场中，面对动荡局势，泰然自若！在市场连续下跌时，他人极度恐慌时抄底：在市场极度兴奋时，他人洋洋得意时抛掉！话虽如此简单，但行之却非常艰难，然而这也是每一个投资者通往成功的必经之路！	
07-21 	11859	0	一只没有主力，没有人气的股，只有等死。此股已死	一只没有主力，没有人气的股，只有等死。此股已死	
07-21 	13381	0	601288在3.09目前才成交1.6万手	持有的都不愿卖3.09再不买入3.10想买都轮不到不要关注我, 关注不到我的, 广西网友不一定是我	
07-21 	9858	0	欧美股市普遍大涨 道指九连阳七创历史新高	欧美股市普遍大涨 道指九连阳七创历史新高	
07-21 	10402	0	本周康仔大幅放量，周线收阳，因此低于上周收盘价22.82元就是买点，本周若回调结	本周康仔大幅放量，周线收阳，因此低于上周收盘价22.82元就是买点，本周若回调结	
07-21 	12941	0	发行新股就打压农行股	为了中签低价购买农行股，低价农行股没有风险	
07-21 	13953	0	农、建行都低价位上加仓成功！我也学会一点炒股了！	农、建行都低价位上加仓成功！我也学会一点炒股了！	
07-21 	11402	0	银行业不良双升，利润将逐渐下滑，股价将长期疲弱，难有投资价值！	银行业不良双升，利润将逐渐下滑，股价将长期疲弱，难有投资价值！	
07-21 	15716	0	农业银行别再装了！	我们有大量资金等着炒底呢！我们挣不到钱是永不放手的！今年不行等明年，明年不行等后年！机构想玩游戏，我们就让农行成“僵尸股“！	
07-20 	11983	0	小康股份第十二板23.87元时换手千分之五.然后涨到第十九板46.54近一倍才打开.	小康股份第十二板23.87元时换手千分之五.然后涨到第十九板46.54近一倍才打开.	
07-20 	15218	0	燕京啤酒 走得跟农业银行一样…	燕京啤酒 走得跟农业银行一样…	
07-20 	11645	0	下午跌回16.8。大家拭目以待 最后一次出货机会。	下午跌回16.8。大家拭目以待 最后一次出货机会。	
07-20 	12800	0	庄应该没这么蠢，我看是鸡精把筹码打给了自己人，因为这股后市太诱人	庄应该没这么蠢，我看是鸡精把筹码打给了自己人，因为这股后市太诱人	
07-20 	12553	0	最后一单成交1818手，今天吹响反攻号角！	最后一单成交1818手，今天吹响反攻号角！	
07-20 	15250	0	震荡行情中寻找突破机会，一大波吃饭行情来袭！！	周三早盘沪深两市小幅低开，昨日尾盘题材股集体拉升一定程度上激活市场人气。权重板块持续调整，市场呈现权重托底，题材唱戏局面。截至开盘，盘面上交运、油改、通用航空、次新股等板块涨幅居前，乳业、电改、互联网彩票、足球等板块跌幅居前。指数方面，呈冲高回落形态，失守10均线后盘中突发跳水，不过在3020点之上止跌，目前要重点留意3020点的支撑，不破3020点的话不用过于恐慌，若破位，变盘向下概率较大，及时减仓。早盘沪指反复挑战10日均线，目前看来10日线岌岌可危，所幸目前看来之前提示的3020点强力支撑位还算得上可靠，小时级别的KDJ指标也出现金叉迹象，当前重点观察上证指数30分钟K线图上下两个位置的支撑压力作用，突破压力或者跌破支撑后一天的行情基本就明朗了。对于当前的调整震荡行情还是要轻指数、重个股。近期板块轮动非常频繁，昨日领涨的电力股，今天领跌，还是希望大家要理性一些，不要追高。今天的创业板表现还是比主板市场要强，目前市场的主要投资机会在创业板上面。今天早盘充电桩板块涨幅排名第一位，除此之外，VR、AR概念股表现活跃，大家可以关注一下恒信移动（300081）、嘉麟杰（002486）、弘高创意（002504）。操作上，投资者可多加关注前期滞涨的优质品种，适时低吸。热门布局：1.逢大盘下跌布局短线板块：锂电池，稀土（短线调整到位，只能做短线）。2.潜伏类板块，逢回落关注，中短线：次新股，军工。3.事件驱动逆势上涨1-3日超短热点：虚拟现实。4.防御性板块：中报业绩优良，白酒。近期A股的走势就像出轨过的男朋友，你一次又一次的相信他会变好，于是他一次又一次的刷新你的底线来伤害你，但是你又怀了他的孩子，要跑就得割肉。月份太大想割肉都不让，只能待产！	
07-20 	12571	0	资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！	至今为止资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！每次拉高一点，机构便借机出货。是什么原因？现在你应该懂了吧！。	
07-20 	12600	0	白浪河 组合调仓理由：工商银行 短期内上	白浪河 组合调仓理由：工商银行 短期内上涨幅度超过农业银行 ，且工行/农行净值比为1.34802，A股工行/农行市价比为1.38835，工行/农行15年度净利润比约1.4，执行调仓以1.54577的相对比值进行工行/农行配对交易。卖出全部剩余工行，置换成农行。	
07-20 	25192	0	农业银行除权的银行都已经填权了	农业银行除权的银行都已经填权了，就是这货要死不活的	
07-20 	18027	4	农业银行债转股	农业银行债转股，东北特钢是银行的了～	想想都有买退市股的，买点垃圾债券好像也没什么 不要紧，请银行为这个债券评级为AA+。反正中国的债券不管多烂，好像都是AA以上的。利息搞到10%以上，肯定有人冒险买入 大哥东北特钢再高息债券都没用，因为违约没信用，就是白条，银行债转股这是坑股东啊 不建议银行持股。建议东北特钢向市场发行高息债券，用募集的钱来换银行贷款。这样可以降低银行风险，又可以有效的吸收货币洪水。 
07-20 	13273	0	托那么大单子有啥用，又不是真想买，上下挂单就为一分差价	托那么大单子有啥用，又不是真想买，上下挂单就为一分差价	
07-20 	11657	0	多大点事儿，不就一张关注函么～能有多大事儿～都吓尿裤子了吧	多大点事儿，不就一张关注函么～能有多大事儿～都吓尿裤子了吧	
07-20 	11609	0	完美环球：360私有化回归，受益最大的上市公司是谁？	完美环球：360私有化回归，受益最大的上市公司是谁？	
07-20 	9970	0	既然你看股吧还买，今天多少人说不让买？不听！	既然你看股吧还买，今天多少人说不让买？不听！	
07-20 	12847	0	好股，不买今年会后悔的	港澳资讯提供　（仅供参考，风险自担）公司点评：设计股份(603018)内生外延加速成长 设计黑马呼之欲出　　江苏唯一一家工程设计综合甲级资质（最高等级），内外并举加速成长　　公司传统核心业务是交通建设工程勘察设计咨询业务，体制改革后公司业务逐步向上游延伸到规划研究，向下游延伸到工程监理和项目管理。公司已拥有工程设计最高等级资质——工程设计综合甲级资质，是获此资质的江苏省第一家设计单位，也是全国两家交通设计企业中的唯一一家民企。公司目前积极开拓轨交、铁路和管网等新业务并加快外延并购步伐，2015 年收购宁夏公路院，2016 年收购扬州市勘测设计研究院，未来将进一步加快多专业、全产业链、全国化布局。　　轨交/铁路/市政/管廊/无人机等新业务增势迅猛，PPP/EPC 助推规模跃升　　公司近三年营收增速稳定在10%左右，2015 年主营业务收入14 亿元。公司近三年超过60%的收入来源于江苏省，省内未来3-5 年轨道交通投资1,500 亿元，泛交通类PPP 项目投资额近2,000 亿元。公司在轨道交通设计领域竞争优势突出，参与了江苏省内几乎所有相关项目。成立江苏省铁路设计院，高铁设计取得重大突破，与铁三院联合中标南沿江线南京-常州段。综合管廊方面，先后中标石家庄汇明路（投资18 亿元）、沣东新城(投资3 亿元)等多个设计项目。与南京航空航天大学合资成立中设航空公司，提供无人机智能解决方案。推动PPP/EPC 等商业模式转型，成立PPP研究中心，并成功运作首个咨询项目，后续若有工程项目突破将快速提升收入规模。　　并购为设计行业整合必然路径，对标AECOM 及苏交科，公司外延扩张弹性更大　　工程设计行业集中度极低，行业处于整合阶段，传统的事业单位性质设计院上市逐渐遭遇瓶颈，而老一代设计院迫切寻求资本市场退出途径，因此公司外延并购具备可行性和必然性。可比公司苏交科近年通过并购加速地域和业务领域扩张，营收及估值提升显着。公司在业务资质方面与苏交科相当，勘查设计和规划研究资质优于苏交科，尽管并购业务处于起步阶段但较苏交科初期起点更高，未来受益于外延并购的业绩和估值弹性更大。由于公司目前所处的市场环境和发展阶段与苏交科上市初期较为相似，或将复制苏交科发展路径，我们坚定看好公司外延逻辑。　　目前公司持股较分散，未来公司治理结构改善预期大　　目前公司全部A 股总股本为2.08 亿股，其中流通股约1.26 亿股，占比60.58%。第一大股东中科汇通持股仅5.43%。公司的股权结构分散，不存在实际控制人。考虑当前万科的市场效应及证监会对股权分散企业的关注提升，我们认为公司存在通过进一步资本运作集中股权，优化治理的动机。　　2016-2018 年净利润CAGR 达26.26%，首次覆盖，给予“买入”评级　　我们预测公司2016-18 年EPS 1.03/1.27/1.55 元，归母净利润CAGR 26.26%。综合考虑公司成长性及行业估值，我们认为可给予公司17 年30-35 倍PE，合理估值区间38.10-44.45 元，首次覆盖，给予“买入”评级。　　风险提示：新业务发展不及预期；外延并购进展缓慢；应收账款无法收回风险。【出处】华泰证券	
07-20 	11740	0	识破打压银行股制造股市泡沫的伎俩，多发新股	识破打压银行股制造股市泡沫的伎俩，多发新股	
07-20 	9671	0	资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！	至今为止资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！每次拉高一点，机构便借机出货。是什么原因？现在你应该懂了吧！。	
07-20 	10044	0	随便一只成交前十股票的交易额都快赶上全部银行总成交	随便一只成交前十股票的交易额都快赶上全部银行总成交	
07-20 	10015	1	银行股配合将输发行可能吗？	中国和银行不是少，而是多。培养一个竞争对手可能吗？看样要给承销劵商颜色看。	都玩空手套白狼，没那个盈利能力，都发股票，借别人的鸡给自己下蛋，下不出蛋，最后把别人的鸡也杀了。 
07-20 	10242	0	银行股几乎全部止跌回升了，只有农行还死死地趴在地下！	银行股几乎全部止跌回升了，只有农行还死死地趴在地下！	
07-20 	33005	2	低价绩优农业银行	低价绩优农业银行	宇宙不收留,人玩人世界. 地球进入立爽时期. 
07-20 	9980	0	银行疯狂扩张，一旦有问题就增加坏账再债转股吗？	银行疯狂扩张，一旦有问题就增加坏账再债转股吗，拿着别人的钱疯狂扩张，成就自己。	
07-20 	10535	0	今明2天出业绩预告，估计是不行了，不然怎么天天绿？	今明2天出业绩预告，估计是不行了，不然怎么天天绿？	
07-20 	9909	0	今天能卖出3.11价格的是幸运儿	今天能卖出3.11价格的是幸运儿大部分都会在3.10交易	
07-20 	8570	0	我10438元的成本100000股都不怕你怕个啊	我10438元的成本100000股都不怕你怕个啊	
07-20 	10272	0	所有户头开足马力申购江苏银行	所有户头开足马力申购江苏银行730919	
07-20 	9305	0	媒体终于承认：太化是国内规模最大铂金网企业	媒体终于承认：太化是国内规模最大铂金网企业	
07-20 	10550	0	我不看好江苏银行	江苏银行发行市盈率7.64倍，比现在市场上的银行股高得多，开盘当天就会跌停，我不申购。	
07-20 	9183	0	前天放量上影大阳，就是露天未来三年的大顶部	前天放量上影大阳，就是露天未来三年的大顶部	
07-19 	10746	0	哈哈哈至少拥有这股的人，没有死，还活着，拥其它股的话，如融资融券的早就死了，	哈哈哈至少拥有这股的人，没有死，还活着，拥其它股的话，如融资融券的早就死了，活着就好，活着就有希望，卖了的人，不过割肉解套，外入走光才好，	
07-19 	10243	0	哈哈哈至少拥有这股的人，没有死，还活着，活着就好，活着就有希望，	哈哈哈至少拥有这股的人，没有死，还活着，活着就好，活着就有希望，	
07-19 	15486	0	600468:百利电气:关于天津百利特精电气股份有限公司收购苏州贯龙电磁线有限公司股权之补充法律意见书	600468:百利电气:关于天津百利特精电气股份有限公司收购苏州贯龙电磁线有限公司股权之补充法律意见书	
07-19 	11173	0	没有出利好公告之前，我心理后悔卖了，刚好今天出利好了，我的心踏实了，幸亏早卖了。	没有出利好公告之前，我心理后悔卖了，刚好今天出利好了，我的心踏实了，幸亏早卖了。	
07-19 	10236	0	为赚钱， 先买套， 风里走， 雨也过， 要忍伤， 要忍疼， 在心头， 朋友一声，	为赚钱，先买套，风里走，雨也过，要忍伤，要忍疼，在心头，朋友一声，你会懂，那些日子，得承受，一句话，一杯哎酒，	
07-19 	10795	1	资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！	至今为止资金继续在往境外流，Ａ股能撑多久？去与留散户们自已做决定吧！每次拉高一点，机构便借机出货。是什么原因？现在你应该懂了吧！。	环境立爽. 
07-19 	9633	0	下午一小时不能越过8.95元又会进入盘局	下午一小时不能越过8.95元又会进入盘局	
07-19 	10700	0	2015年8月	2015年8月，财政部与国家开发银行、农业发展银行、农业银行联合发布通知，共同开展创新投融资模式建设高标准农田项目试点。	
07-19 	11697	0	投资，到底赚什么钱	投资，到底赚什么钱？任何投资，赚钱的途径无非两种，一是赚市场的钱，二是赚企业的钱。大部分人都是前者，价值投资者非常稀少。说赚企业的钱，很多伪价值投资观念混淆其中。比如：投资PE为5倍的股票，公司低增长、低分红，投资者期望5年翻倍，投资年收益达到20%。上表可以看出，要达到这样的收益，PE是逐年上升的，投资者还是希望赚到市场估值提升带来的收益。真实的情况如下：这就是近年来，投资银行股的结果。尽管PB不断下降，PE基本保持不变，从股价来说，投资者基本无收益。因此，投资基本无增长的大型绩优股公司，投资者最应该看重公司的股息率。近年分红比较好的农业银行，股息率达到7%左右，这个收益大体相当于AA级债券。如果这类公司的股息率大幅度高于债券收益，就是投资的好时机。2011年6月农行价格2元（前复权），目前价格3元，年均投资收益10%，大部分是股息收益。再来看下成长型公司在PE不变，PB逐年略微降低的过程中（没有赚任何市场估值的钱），5年投资将会翻倍。这全部是企业成长贡献。选择成长型公司，最难的是稳定增长，不仅看5年前，还要看若干年后公司是否有成长空间。中国平安就是一家这样的公司，近年来保持15%以上增长。2011年6月价格为22元（前复权），目前价格32元，因此现在价格仅相当于5年前16元左右的价格，无疑是估值的底部区域。尽管从投资结果看，前面5年投资农业银行和投资中国平安效果都差不多，但投资农业银行的大部分收益来源于企业分红，而投资中国平安的收益主要来源于企业成长。因此，我把投资者分为4类，投机者、伪价值投资者、收益型价值投资者和成长型价值投资者。伪价值投资者通常会说一个行业或企业，盈利能力或者以后发展如何如何，现在PB,或者PE才多少，想当然地认为估值会提升，实际还是希望赚市场的钱。收益型价值投资者看重企业的分红。成长型价值投资者看重企业的稳定增长。为什么价值投资是投资的正道，而非价值投资很难取得成功？我们看下近代世界经济发展史，无疑就是货币贬值和通货膨胀的历程。温和通胀的环境，有利于企业盈利的提升，货币贬值，尽管人工成本增加、原材料涨价，但企业的产品涨价，企业盈利后净资产增加，企业的股票也会增值。因此，只有货币购买力不断下降，其他的所有资产价格几乎都是上涨的。非价值投资尽管会购买股票，但根本理念还是货币。赢利、亏损，投资者一直在用货币来衡量投资，虽然购买了股票，但会很快卖出，还原成货币，因此从根本上讲，非价值投资者还是货币持有者。价值投资者购买股票，是一个舍弃货币的过程，比如花100万购买了10万股股票，在价值投资者眼里，这100万货币没有了，他会看重这10万股股票以后带来的每股收益是多少，他会看重企业今后的发展怎么样，因此从根本上讲，价值投资是企业股份持有者。我们到底该赚市场的钱，还是赚企业额钱？我们准备赚企业分红的钱，还是赚企业成长的钱？作为投资者，你想清楚了吗？农业银行中国平安	
07-19 	13937	0	搬砖——卖出交通银行 买入农业银行	搬砖——卖出交通银行 买入农业银行	
07-19 	9025	0	开盘41.70卖了，求主力再砸一下好接回[兴奋][兴奋]	开盘41.70卖了，求主力再砸一下好接回	
07-19 	8711	0	股本不大的央企兼并全球领先企业的巨大意义	简单探讨：1、“副士糠”不是苹果，假如“副士糠”吃了苹果会怎样？2、如果有这么一家股本不大的央企正在“吃”一家全球领先的企业，你觉得其将来会怎样？3、关注揭开国际并购、央企同业整合帷幕并逐步迈向国际领先的小盘央企风神股份(600469)公司公布了控股股东旗下轮胎资产（包括倍耐力轮胎）初步的整合方案，公司拟以现金购买控股股东的中车双喜、黄海有限100%股权，以现金向倍耐力购买“倍耐力工业胎”10%股权，并以现金交易方式向倍耐力出售公司的乘用车胎业务80%股权附背景资料：风神股份(600469)公司控股股东在2015年收购全球第五大轮胎生产商倍耐力公司后，一直致力于利用倍耐力在品牌、技术、管理等方面的领先优势，整合优化旗下其它轮胎资产。此次公司取得倍耐力工业胎10%股权，根据协议，公司3年内还要逐步取得倍耐力工业胎另外90%股权。	
07-19 	9853	0	农行必须上涨5%以上，做1分钱差价的狗庄才会滚蛋！	农行必须上涨5%以上，做1分钱差价的狗庄才会滚蛋！	
07-19 	7722	0	深圳惠程:2016年半年度业绩预告修正公告	深圳惠程:2016年半年度业绩预告修正公告	
07-19 	8150	0	抛！机构连拉股价，用人性贪婪，忽悠小股民在高位接货 000895 经济不断恶化，	抛！机构连拉股价，用人性贪婪，忽悠小股民在高位接货 000895 经济不断恶化，	
07-19 	15265	0	需要大家注意的是：农业银行信用卡和储蓄卡	需要大家注意的是：农业银行信用卡和储蓄卡、邮储银行储蓄卡、华夏银行信用卡，就这三个银行单笔限额5000元，所以不要用这三个银行的，否则无法支付了	
07-19 	8764	0	今天机构第一次集中砸盘试水彻底失败，并丢失一部分筹码，玲珑散户团结，坚定持股看高	今天机构第一次集中砸盘试水彻底失败，并丢失一部分筹码，玲珑散户团结，坚定持股看高	
07-19 	8340	0	期待着江苏银行上市的赚钱效应，破净银行股或许有一波向上估值修复！（个人观点，不作买卖依据）	期待着江苏银行上市的赚钱效应，破净银行股或许有一波向上估值修复！（个人观点，仅供探讨，不作买卖依据）	
07-19 	9181	0	农行30多亿元的票据案子，期间那个当值农行领导出来担责。	责任制哪里去了。30亿元票据这么大的事情，没下文了吗。农行那个在任领导当时，谁出来担责。	
07-19 	11644	1	已经确认是洗盘，不轻易破12！这个点位有强力支撑！！个人见解！！	已经确认是洗盘，不轻易破12！这个点位有强力支撑！！个人见解！！	农业银行已死亡,没有希望的 
07-19 	10296	2	这股是一点套牢盘都不想解救 我也是服了 来一个套一个	这股是一点套牢盘都不想解救 我也是服了 来一个套一个	农业银行已死亡,没有希望的 用物质世界观想想！ 
07-19 	9640	1	今天银行股将带领上证指数攻击3100点。	今天银行股将带领上证指数攻击3100点。	农业银行已死亡,没有希望的 
07-19 	10360	0	可能吗？不要在这忽悠人了，今天看到17.80	可能吗？不要在这忽悠人了，今天看到17.80	
07-18 	18376	3	卖出建行、光大、中信、华夏、民生等，买入农行！	卖出建行、光大、中信、华夏、民生等，买入农行！	死神有惊喜,买啊 农业银行已死亡,没有希望的 农行必补涨！ 
07-18 	11263	1	这垃圾股大牛市时就没破过5块！谁买是谁赔！不信你试试	这垃圾股大牛市时就没破过5块！谁买是谁赔！不信你试试	农业银行已死亡,没有希望的 
07-18 	13462	0	农行三天收盘在3.12纹丝不动，建行和工行已涨3%和1%。	不日农行必将追涨。A股最低价的银行股，业绩完全不输建行和工行，凭什么不涨？	
07-18 	11773	0	所有的银行股都上涨了，打压脓行是徒劳的！	所有的银行股都上涨了，打压脓行是徒劳的！	
07-18 	12789	0	农业银行 今天股价居然没有变化	农业银行 今天股价居然没有变化，我也是醉了。	
07-18 	14819	0	银行股行情的逻辑	大逻辑：1、估值最便宜。市净率和市盈率，几乎处于历史最低区域；2、安全。郭嘉队高度控盘，基本排除了配资、融资、基金崩盘引发暴跌的可能；3、股息最高、收益有保底。保险资金和养老资金最爱；4、业绩稳定。今后三年净资产收益率15%左右；5、进可攻、退可守。即使今后市场大趋势不明，仍然可以放心重仓甚至满仓；6、风水轮流转，今年下半年开始大概率该轮到银行股了！今天的小逻辑：1、民生大涨是因为股权争夺引发抢筹；2、南京宁波是因为江苏亲戚，南京是亲兄弟，宁波是表兄弟；3、中信和光大是因为实际流通盘小；4、建行是因为是建行！建行涨多了，开始考虑再换一些其他银行股兑现超额利润，但是周末算计了半天，还是建行有意思：1、市净率和市盈率仍然最低之一，即使零增长，市盈率仍然5.8不到，只有中行、工行、农行可以媲美，如果招商浦发兴业有5%的增长，招商是7.1、浦发6.5、兴业不错5.6......如果招商浦发兴业也是零增长，那么招商就是7.5、浦发6.8、兴业5.9......市净率也差不多是这个情况。这个是投资银行股最俗的指标、但是也是最家喻户晓的指标；2、股息率仍然最高，即使零增长股息率仍然5.3%，只有中行、工行、农行可以媲美，招商和兴业大概4%左右，浦发只有3%左右......这个也是投资银行股最俗的指标、但是也是某些大资金最看重的指标；3、建行全部的逾期贷款几乎都计入了不良贷款，建行几乎没有应收款类项投资，建行27%的贷款是无风险的个人住房按揭贷款，建行33%的贷款是无风险的国家级重大基础建设投资项目，建行过剩产能行业的贷款余额不到1200亿、大概占总贷款的1%左右，建行的制造业、零售业、采矿业贷款不良暴露是所有上市银行里最充分的......4、建行利润一半来源于个人银行业务，建行储蓄一半来源于个人储蓄，建行活期储蓄大于定期储蓄......这些指标甚至比招商还优秀！5、建行的实际流通盘太袖珍了，现在大概也就200亿元左右，建行粉的分红现金抢一把筹码，效果都非常的显著！6、建行会是银行股暴动的龙头和旗帜吗？后悔换了20%仓位的中行，人老了，不再敢独仓满仓满融一只股票了......今天收盘，净资产市值已经超越去年的珠峰5178点位，高兴，晚上要喝酒犒劳自己一下！	
07-18 	10136	0	预料	只有银行板块上了年线，将是市场的领头板块。	
07-18 	12773	1	银行股都走添权之路，就农行最垃圾反之走势。	银行股都走添权之路，就农行最垃圾反之走势。	农业银行已死亡,没有希望的 
07-18 	8899	0	证监会：请依法治市！无论何机构何目的，只要违法都要查处！	证监会：请依法治市！无论何机构何目的，只要违法都要查处！	
07-18 	10284	0	城商行上市	貌似有很多城商行要上市的，不过，凭什么以接近7的PE上市呢？要么把银行炒上去，要么破发？农业银行4.6市盈率，如果未来盈利能力没啥问题，郭嘉队买下，退市得了。	
07-18 	13270	0	早上被耍了	早上被耍了，早盘下跌我创业板B在1.012卖出了，卖在山脚下，原来赚了近全仓1%，最后只剩下83块。先等等看，交通银行还是比农业银行强势	
